episode,reward,actions
422,280,Counter({0: 30})
423,280,Counter({0: 30})
424,280,Counter({0: 30})
425,280,Counter({0: 30})
426,252,"Counter({0: 30, 6: 1, 2: 1})"
427,280,Counter({0: 30})
428,280,Counter({0: 30})
429,280,Counter({0: 30})
430,280,Counter({0: 30})
431,280,Counter({0: 30})
432,280,Counter({0: 30})
433,280,Counter({0: 30})
434,280,Counter({0: 30})
435,280,Counter({0: 30})
436,280,Counter({0: 30})
437,280,Counter({0: 30})
438,280,Counter({0: 30})
439,232,"Counter({0: 30, 6: 1, 4: 1})"
440,280,Counter({0: 30})
441,232,"Counter({0: 30, 6: 1, 4: 1})"
442,280,Counter({0: 30})
443,280,Counter({0: 30})
